country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop
Afghanistan,2020,WorldBank,97.7,"895,352",99.5,"50,657",97.1,"844,694",
Albania,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Algeria,2020,WorldBank,99.8,"85,891",99.9,"37,503",99.6,"48,388",
Andorra,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Angola,2020,WorldBank,46.9,"17,455,075",73.7,"5,774,280",0.0,0,
Anguilla,2020,WorldBank,100.0,0,0.0,0,0.0,0,
Antigua and Barbuda,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Argentina,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Armenia,2020,WorldBank,100.0,0,100.0,761,100.0,0,
Aruba,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Australia,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Austria,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Azerbaijan,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Bahamas,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Bahrain,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Bangladesh,2020,WorldBank,96.2,"6,258,197",97.8,"1,383,216",95.2,"4,874,980",
Barbados,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Belarus,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Belgium,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Belize,2020,WorldBank,97.1,"11,478",98.3,"3,053",96.1,"8,425",
Benin,2020,WorldBank,41.4,"7,102,866",66.1,"1,987,078",18.2,"5,115,787",
Bermuda,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Bhutan,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Bolivia (Plurinational State of),2020,WorldBank,97.6,"285,508",100.0,0,91.8,"285,508",
Bosnia and Herzegovina,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Botswana,2020,WorldBank,72.0,"658,578",90.7,"154,401",26.4,"504,177",
Brazil,2020,WorldBank,100.0,0,100.0,0,100.0,0,
British Virgin Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Brunei Darussalam,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Bulgaria,2020,WorldBank,99.7,"20,782",99.8,"10,486",100.0,0,
Burkina Faso,2020,WorldBank,19.0,"16,940,594",65.8,"2,191,019",0.0,0,
Burundi,2020,WorldBank,11.7,"10,495,332",63.7,"592,037",3.5,"9,903,295",
Cabo Verde,2020,WorldBank,94.2,"32,460",94.5,"20,434",93.5,"12,026",
Cambodia,2020,WorldBank,86.4,"2,273,780",97.3,"109,386",82.9,"2,164,394",
Cameroon,2020,WorldBank,64.7,"9,365,018",94.0,"912,722",25.0,"8,452,296",
Canada,2020,WorldBank,100.0,0,100.0,0,100.0,0,
Cayman Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,
