country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Abyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,XAB-20220530,XAB,Abyei,901,XA,XAB,XAB,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,510044,20877,0.9606777656,76652
Afghanistan,2020,WorldBank,97.7,"895,352",99.5,"50,657",97.1,"844,694",,33.0,16.0,83.0,n/a,49.4,0.062,0.062,0.000,0.478,62,3,"1,824",0%,-11%,0,-0.08,0.02,0.4,1970,2706.0000000001,0.06,2.46,0,-0.05,-0.01,0,-0.006,-0.001,0,0,-0.008,-0.059,2,AFG-20220530,AFG,Afghanistan,4,AF,AFG,AFG,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,40754375
Akrotiri and Dekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,XUK_1-20220530,XUK_1,Akrotiri (UK),939,QY,XUK,GBR,145,Western Asia,145,Western Asia,142,Asia,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,13349
Aksai Chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,XAC-20220530,XAC,,902,XB,XAC,XAC,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,2855
Albania,2020,WorldBank,100.0,0,100.0,0,100.0,0,,81.0,65.0,93.0,0,0.3,0.000,0.000,0.000,0.796,76.5,11.3,"14,131",0%,0%,0,0,0.01,0.02,0,-1,0.03,0.33,0,0,0,0,0,0,0,0,0,0,6,ALB-20220530,ALB,Albania,8,AL,ALB,ALB,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,2866380
Algeria,2020,WorldBank,99.8,"85,891",99.9,"37,503",99.6,"48,388",,100.0,99.0,100.0,0.5,n/a,0.514,0.142,0.372,0.745,76.4,8.1,"10,800",0%,0%,0,-0.001,0.3,2.5,-1,120,0.9,28,0.09,0.05,0.29,0.27,0.02,-0.005,0.04,-0.01,0.378,0.328,77,DZA-20220530,DZA,Algeria,12,DZ,DZA,DZA,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,21029177,2009644,0.9127714044,45350131
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ASM-20220530,ASM,American Samoa (USA),16,AS,ASM,USA,61,Polynesia,61,Polynesia,9,Oceania,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,55032
Andorra,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,n/a,,,,0.858,80.4,10.6,"51,167",,,,,,,,,,,,,,,,,,,,,7,AND-20220530,AND,Andorra,20,AD,AND,AND,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,77460
Angola,2020,WorldBank,46.9,"17,455,075",73.7,"5,774,280",0.0,0,,50.0,8.0,78.0,31.1,47.2,3.099,2.684,0.415,0.586,61.6,5.4,"5,466",-5%,-114%,-0.01,-0.95,1.7,23.2,35192,99923,5,218,2.02,2.6,0.32,0.18,0.263,-0.008,0.04,-0.02,2.339,2.783,3,AGO-20220530,AGO,Angola,24,AO,AGO,AGO,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,9245335,5217954,0.6392277026,35027348
Anguilla,2020,WorldBank,100.0,0,0.0,0,0.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,AIA-20220530,AIA,Anguilla (UK),660,AI,AIA,GBR,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,15225
