country,year,data_source,poverty_headcount
Afghanistan,n/a,n/a,n/a
Albania,2019,WB,0
Algeria,2011,WB,0.5
Andorra,n/a,n/a,n/a
Angola,2018,WB,31.1
Anguilla,n/a,n/a,n/a
Antigua and Barbuda,n/a,n/a,n/a
Argentina,2020,WB,1.1
Armenia,2020,WB,0.4
Aruba,n/a,n/a,n/a
Australia,2018,WB,0.5
Austria,2019,WB,0.6
Azerbaijan,2005,WB,0
Bahamas,n/a,n/a,n/a
Bahrain,n/a,n/a,n/a
Bangladesh,2016,WB,13.5
Barbados,n/a,n/a,n/a
Belarus,2020,WB,0
Belgium,2019,WB,0.1
Belize,1999,WB,18
Benin,2018,WB,19.9
Bermuda,n/a,n/a,n/a
Bhutan,2017,WB,0.9
Bolivia (Plurinational State of),2020,WB,3.1
Bosnia and Herzegovina,2011,WB,0.1
Botswana,2015,WB,15.4
Brazil,2020,WB,1.9
British Virgin Islands,n/a,n/a,n/a
Brunei Darussalam,n/a,n/a,n/a
Bulgaria,2019,WB,0.9
Burkina Faso,2018,WB,30.5
Burundi,2013,WB,65.1
Cabo Verde,2015,WB,4.6
Cambodia,n/a,n/a,n/a
Cameroon,2014,WB,25.7
Canada,2017,WB,0.2
Cayman Islands,n/a,n/a,n/a
Central African Republic,2008,WB,61.9
Chad,2018,WB,30.9
Chile,2020,WB,0.7
China,2019,WB,0.1
Colombia,2020,WB,10.8
Comoros,2014,WB,18.6
Congo,2011,WB,35.4
Cook Islands,n/a,n/a,n/a
Costa Rica,2020,WB,2.2
Côte d’Ivoire,2018,WB,11.4
Croatia,2019,WB,0.3
Cuba,n/a,n/a,n/a
Curaçao,n/a,n/a,n/a
Cyprus,2019,WB,0.2
Czechia,2019,WB,0
Democratic People's Republic of Korea,n/a,n/a,n/a
Democratic Republic of the Congo,2012,WB,69.7
Denmark,2019,WB,0.3
Djibouti,2017,WB,19.1
Dominica,n/a,n/a,n/a
Dominican Republic,2020,WB,1.1
Ecuador,2020,WB,6.5
Egypt,2017,WB,2.5
El Salvador,2019,WB,1.4
Equatorial Guinea,n/a,n/a,n/a
Eritrea,n/a,n/a,n/a
Estonia,2019,WB,0.6
Eswatini,2016,WB,36.1
Ethiopia,2015,WB,27
Faroe Islands,n/a,n/a,n/a
Fiji,2019,WB,1.3
Finland,2019,WB,0
France,2018,WB,0
French Polynesia,n/a,n/a,n/a
Gabon,2017,WB,2.5
Gambia,2015,WB,13.4
Georgia,2020,WB,5.8
Germany,2018,WB,0
Ghana,2016,WB,25.3
Gibraltar,n/a,n/a,n/a
Greece,2019,WB,0.7
Greenland,n/a,n/a,n/a
Grenada,n/a,n/a,n/a
Guam,n/a,n/a,n/a
Guatemala,2014,WB,9.5
Guinea,2018,WB,13.8
Guinea-Bissau,2018,WB,21.7
Guyana,1998,WB,11.9
Haiti,2012,WB,29.2
Honduras,2019,WB,12.7
Hungary,2019,WB,0.3
Iceland,2017,WB,0
India,2019,WB,10
Indonesia,2021,WB,3.5
Iran (Islamic Republic of),2019,WB,1.1
Iraq,2012,WB,0.1
Ireland,2018,WB,0
Isle of Man,n/a,n/a,n/a
Israel,2018,WB,0.5
Italy,2018,WB,1.5
Jamaica,2004,WB,1.2
Japan,2013,WB,0.7
Jordan,2010,WB,0
Kazakhstan,2018,WB,0
Kenya,2015,WB,29.4
Kiribati,2019,WB,1.7
Kuwait,n/a,n/a,n/a
Kyrgyzstan,2020,WB,1.3
Lao People's Democratic Republic,2018,WB,7.1
Latvia,2019,WB,0.2
Lebanon,n/a,n/a,n/a
Lesotho,2017,WB,32.4
Liberia,2016,WB,27.6
Libya,n/a,n/a,n/a
Liechtenstein,n/a,n/a,n/a
Lithuania,2019,WB,0.5
Luxembourg,2019,WB,0.1
Madagascar,2012,WB,80.7
Malawi,2019,WB,70.1
Malaysia,2015,WB,0
Maldives,2019,WB,0
Mali,2018,WB,14.8
Malta,2019,WB,0.3
Marshall Islands,2019,WB,0.9
Mauritania,2014,WB,6.5
Mauritius,2017,WB,0.1
Mexico,2020,WB,3.1
Micronesia (Federated States of),2013,WB,16
Monaco,n/a,n/a,n/a
Mongolia,2018,WB,0.7
Montenegro,2018,WB,2.8
Morocco,2013,WB,1.4
Mozambique,2014,WB,64.6
Myanmar,2017,WB,2
Namibia,2015,WB,15.6
Nauru,2012,WB,1.4
Nepal,2010,WB,8.2
Netherlands,2019,WB,0.1
New Caledonia,n/a,n/a,n/a
New Zealand,n/a,n/a,n/a
Nicaragua,2014,WB,3.9
Niger,2018,WB,50.6
Nigeria,2018,WB,30.9
Niue,n/a,n/a,n/a
North Macedonia,2018,WB,3.4
Northern Mariana Islands,n/a,n/a,n/a
Norway,2019,WB,0.2
Oman,n/a,n/a,n/a
Pakistan,2018,WB,4.9
Palau,n/a,n/a,n/a
Panama,2019,WB,1
Papua New Guinea,2009,WB,39.7
Paraguay,2020,WB,0.8
Peru,2020,WB,5.8
Philippines,2018,WB,3
Poland,2018,WB,0.2
Portugal,2019,WB,0.1
Puerto Rico,n/a,n/a,n/a
Qatar,n/a,n/a,n/a
Republic of Korea,2016,WB,0.2
Republic of Moldova,2019,WB,0
Romania,2019,WB,2.2
Russian Federation,2020,WB,0
Rwanda,2016,WB,52
Saint Kitts and Nevis,n/a,n/a,n/a
Saint Lucia,2016,WB,5.1
Saint Vincent and the Grenadines,n/a,n/a,n/a
Samoa,2013,WB,1.2
San Marino,n/a,n/a,n/a
Sao Tome and Principe,2017,WB,15.6
Saudi Arabia,n/a,n/a,n/a
Senegal,2018,WB,9.3
Serbia,2019,WB,2.3
Seychelles,2018,WB,0.5
Sierra Leone,2018,WB,26.1
Singapore,n/a,n/a,n/a
